                                                food  Caloric Value     Fat  Saturated Fats  Monounsaturated Fats  Polyunsaturated Fats  Carbohydrates  Sugars  Protein  Dietary Fiber  Cholesterol  Sodium    Water  Vitamin A  Vitamin B1  Vitamin B11  Vitamin B12  Vitamin B2  Vitamin B3  Vitamin B5  Vitamin B6  Vitamin C  Vitamin D  Vitamin E  Vitamin K  Calcium   Copper    Iron  Magnesium  Manganese  Phosphorus  Potassium  Selenium    Zinc  Nutrition Density
                                            pout raw            278   3.200           1.100                 1.200                 0.100          0.000   0.000   58.600          0.000      183.000   0.200  286.400      0.032       0.300        0.022        0.021       0.200       7.400       0.500       0.800      0.000      0.000      0.000      0.000   35.200    0.100   1.000     45.800      0.003     704.000   1408.000     0.100   3.600             98.078
                                rainbow smelt cooked             35   0.900           0.200                 0.200                 0.300          0.000   0.000    6.400          0.000       25.500   0.047   20.600      0.005       0.072        0.021        0.089       0.083       0.500       0.200       0.041      0.000      0.000      0.000      0.000   21.800    0.010   0.300     10.800      0.300      83.500    105.300     0.062   0.600             29.428
                                        monkfish raw             22   0.400           0.079                 0.074                 0.200          0.000   0.000    4.100          0.000        7.100   0.059   23.600      0.005       0.092        0.082        0.021       0.081       0.600       0.025       0.077      0.300      0.000      0.000      0.000    2.300    0.041   0.059      5.900      0.057      56.600    113.200     0.090   0.100              7.210
                                           trout raw            117   5.200           0.900                 2.600                 1.200          0.000   0.000   16.400          0.000       45.800   0.051   56.400      0.100       0.300        0.041        0.027       0.300       3.600       1.500       0.200      0.400      0.032      0.200      0.003   34.000    0.100   1.200     17.400      0.700     193.600    285.200     0.095   0.500             57.297
                                           shark raw             37   1.300           0.300                 0.500                 0.300          0.000   0.000    5.900          0.000       14.400   0.003   20.800      0.012       0.009        0.079        0.085       0.017       0.800       0.200       0.100      0.000      0.046      0.300      0.007    9.600    0.010   0.200     13.900      0.088      59.400     45.300     0.067   0.100             17.064
                                          burbot raw            104   0.900           0.200                 0.200                 0.300          0.000   0.000   22.400          0.000       69.600   0.100   91.900      0.081       0.400        0.024        0.048       0.200       1.900       0.200       0.300      0.000      0.000      0.000      0.000   58.000    0.200   1.000     37.100      0.800     232.000    468.600     0.043   0.900             82.309
                                  dolphinfish cooked            173   1.400           0.400                 0.200                 0.300          0.000   0.000   37.700          0.000      149.500   0.200  113.200      0.046       0.092        0.096        0.086       0.100      11.800       1.400       0.700      0.000      0.000      0.000      0.000   30.200    0.052   2.300     60.400      0.018     291.000    847.500     0.057   0.900             71.625
                                     crayfish cooked             25   0.400           0.089                 0.022                 0.100          0.000   0.000    5.000          0.000       38.800   0.058   22.900      0.094       0.045        0.056        0.076       0.051       0.500       0.100       0.058      0.100      0.000      0.000      0.000   14.400    0.200   0.300      9.300      0.072      68.200     67.400     0.047   0.400             20.222
                                     dolphinfish raw            173   1.400           0.400                 0.200                 0.300          0.000   0.000   37.700          0.000      148.900   0.200  158.200      0.100       0.050        0.005        0.040       0.100      12.400       1.500       0.800      0.000      0.000      0.000      0.000   30.600    0.089   2.300     61.200      0.084     291.700    848.600     0.006   0.900             72.100
                                        perch cooked             54   0.500           0.100                 0.029                 0.200          0.000   0.000   11.400          0.000       52.900   0.043   33.700      0.019       0.006        0.099        0.020       0.088       0.900       0.400       0.070      0.800      0.000      0.000      0.000   46.900    0.085   0.500     17.500      0.400     118.200    158.200     0.080   0.700             60.112
                                            cusk raw            106   0.800           0.200                 0.100                 0.300          0.000   0.000   23.200          0.000       50.000   0.086   93.100      0.038       0.033        0.038        0.037       0.200       3.300       0.300       0.500      0.000      0.000      0.000      0.000   12.200    0.061   1.000     37.800      0.032     248.900    478.200     0.010   0.500             37.228
                                    bluefin tuna raw             41   1.400           0.400                 0.500                 0.400          0.000   0.000    6.600          0.000       10.800   0.013   19.300      0.200       0.037        0.041        0.008       0.042       2.400       0.300       0.100      0.000      0.077      0.300      0.000    2.300    0.038   0.300     14.200      0.068      71.900     71.300     0.070   0.200             10.800
                                     milkfish cooked             54   2.400           0.000                 0.000                 0.000          0.000   0.000    7.400          0.000       19.000   0.076   17.700      0.027       0.069        0.080        0.061       0.058       2.300       0.200       0.100      0.000      0.000      0.000      0.000   18.400    0.050   0.100     10.800      0.003      58.900    105.800     0.065   0.300             28.341
                                            carp raw            277  12.200           2.400                 5.100                 3.100          0.000   0.000   38.900          0.000      143.900   0.100  166.400      0.042       0.300        0.094        0.087       0.100       3.600       1.600       0.400      3.500      0.042      1.400      0.016   89.400    0.100   2.700     63.200      0.065     904.700    725.900     0.037   3.200            146.793
                                        sturgeon raw             30   1.100           0.300                 0.500                 0.200          0.000   0.000    4.600          0.000       17.000   0.007   21.700      0.016       0.058        0.039        0.039       0.082       2.300       0.200       0.013      0.000      0.008      0.100      0.030    3.700    0.010   0.200      9.900      0.035      59.700     80.400     0.077   0.100              9.612
                                   orange roughy raw             22   0.200           0.057                 0.051                 0.086          0.000   0.000    4.600          0.000       17.000   0.063   21.400      0.082       0.086        0.073        0.078       0.005       0.400       0.082       0.038      0.000      0.000      0.300      0.063    2.500    0.015   0.300      4.800      0.091      30.300     47.300     0.042   0.039              7.672
                                       catfish fried            199  11.600           2.900                 4.900                 2.900          7.000   0.000   15.700          0.600       61.800   0.200   51.200      0.000       0.040        0.015        0.054       0.100       2.000       0.600       0.200      0.000      0.000      0.000      0.000   38.300    0.010   1.200     23.500      0.050     187.900    295.800     0.098   0.700             74.400
                                      cuttlefish raw             22   0.200           0.002                 0.088                 0.069          0.200   0.000    4.600          0.000       31.700   0.100   22.800      0.048       0.025        0.093        0.010       0.300       0.300       0.100       0.079      1.500      0.000      0.000      0.000   25.500    0.200   1.700      8.500      0.092     109.500    100.200     0.083   0.500             33.734
                                            bass raw             90   2.900           0.600                 1.100                 0.800          0.000   0.000   14.900          0.000       53.700   0.055   59.800      0.004       0.091        0.046        0.003       0.046       1.000       0.600       0.052      1.600      0.000      0.000      0.000   63.200    0.093   1.200     23.700      0.700     158.000    281.200     0.057   0.500             83.837
                                     flounder cooked            109   3.000           0.700                 0.800                 0.600          0.000   0.000   19.400          0.000       71.100   0.500  103.000      0.047       0.067        0.094        0.014       0.018       0.002       1.600       0.300      0.100      0.000      0.005      1.000    0.100   31.800   0.099      0.300     27.900       0.077    392.400   250.200   0.049             22.622
                                        milkfish raw             42   1.900           0.500                 0.700                 0.500          0.000   0.000    5.800          0.000       14.700   0.098   20.100      0.099       0.091        0.090        0.012       0.027       1.800       0.200       0.100      0.000      0.000      0.000      0.000   14.400    0.021   0.057      8.500      0.088      45.800     82.600     0.042   0.200             22.203
                                             eel raw            375  23.800           4.800                14.700                 1.900          0.000   0.000   37.600          0.000      257.000   0.100  139.300      2.100       0.300        0.049        0.061       0.002       7.100       0.500       0.100      3.700      0.010      8.200      0.000   40.800    0.069   1.000     40.800      0.038     440.600    554.900     0.011   3.300            109.000
                                         catfish raw            189   9.400           2.100                 4.100                 1.800          0.000   0.000   24.200          0.000       87.500   0.200  125.700      0.000       0.022        0.083        0.003       0.100       3.300       1.100       0.200      0.000      0.084      1.300      0.022   12.700    0.003   0.400     30.200      0.073     324.400    480.200     0.056   0.800             46.700
                                         fish sticks             78   4.500           1.000                 0.900                 2.200          6.100   0.500    3.100          0.400        7.800   0.100   13.900      0.055       0.006        0.037        0.039       0.300       0.082       0.400       0.000      0.038      0.000      0.000      1.900    0.089    4.500   0.300      0.200      7.000       0.000     53.500    51.800   0.072             14.563
                                     coho salmon raw            254  12.200           2.900                 5.300                 3.000          0.000   0.000   33.800          0.000       81.100   0.054  112.000      0.012       0.100        0.076        0.095       0.200      10.800       1.800       1.000      1.700      0.000      0.000      0.000   19.100    0.022   0.500     49.300      0.023     464.300    715.500     0.028   0.700             67.308
                                     monkfish cooked             27   0.600           0.000                 0.000                 0.000          0.000   0.000    5.300          0.000        9.100   0.004   22.200      0.006       0.014        0.011        0.024       0.045       0.700       0.010       0.039      0.300      0.000      0.000      0.000    2.800    0.033   0.100      7.600      0.082      72.400    145.200     0.036   0.100              9.165
                                   yellowtail cooked            546  19.600           0.000                 0.000                 0.000          0.000   0.000   86.600          0.000      207.300   0.100  196.600      0.045       0.500        0.085        0.034       0.100      25.500       2.000       0.500      8.500      0.000      0.000      0.000   84.700    0.200   1.800    111.000      0.095     586.900   1571.000     0.100   2.000            201.282
                               yellowfin tuna cooked             37   0.200           0.054                 0.095                 0.038          0.000   0.000    8.200          0.000       13.300   0.011   19.500      0.098       0.065        0.019        0.059       0.093       6.200       0.021       0.300      0.000      0.009      0.042      0.023    1.100    0.001   0.300     11.900      0.014      94.200    149.100     0.003   0.100              9.861
                                         ling cooked            168   1.200           0.000                 0.000                 0.000          0.000   0.000   36.800          0.000       77.000   0.300  111.600      0.025       0.200        0.009        0.060       0.300       4.200       0.600       0.500      0.000      0.000      0.000      0.000   66.400    0.200   1.300    122.300      0.035     383.500    733.900     0.079   1.500            105.731
                                          eel cooked             67   4.200           0.900                 2.600                 0.300          0.000   0.000    6.700          0.000       45.600   0.069   16.800      0.300       0.008        0.074        0.058       0.066       1.300       0.067       0.031      0.500      0.000      0.000      0.000    7.400    0.075   0.200      7.400      0.058      78.400     98.800     0.010   0.600             19.300
                                       sablefish raw            753  59.100          12.400                31.100                 7.900          0.000   0.000   51.800          0.000      189.100   0.200  274.100      0.400       0.400        0.094        0.100       0.300      15.400       2.900       1.200      0.000      0.000      0.000      0.000  135.100    0.037   4.900    212.300      0.077     648.500   1381.900     0.100   1.200            251.300
                                      salmon nuggets             60   3.300           0.400                 1.300                 0.900          4.000   0.000    3.600          0.000        7.400   0.005   17.100      0.000       0.018        0.076        0.086       0.059       1.300       0.100       0.046      0.000      0.000      0.000      0.000    2.300    0.039   0.400      5.700      0.060      49.800     46.700     0.000   0.100             13.600
                                      yellowtail raw            546  19.600           4.800                 7.400                 5.300          0.000   0.000   86.500          0.000      205.700   0.100  278.700      0.100       0.500        0.080        0.072       0.100      25.400       2.200       0.600     10.500      0.000      0.000      0.071   86.000    0.200   1.800    112.200      0.002     587.200   1570.800     0.100   1.900            204.500
                                   butterfish cooked             47   2.600           0.000                 0.000                 0.000          0.000   0.000    5.500          0.000       20.800   0.042   16.700      0.029       0.055        0.092        0.057       0.016       1.400       0.200       0.041      0.000      0.000      0.000      0.000    7.000    0.028   0.200      8.000      0.095      77.000    120.300     0.020   0.200             15.350
                                              caviar             42   2.900           0.600                 0.700                 1.200          0.600   0.000    3.900          0.000       94.100   0.200    7.600      0.054       0.037        0.038        0.083       0.003       0.051       0.600       0.005      0.000      0.000      0.300      0.065   44.000    0.086   1.900     48.000      0.068      57.000     29.000     0.098   0.200             53.325
                                         pollock raw            355   3.800           0.500                 0.400                 1.900          0.000   0.000   75.000          0.000      274.100   0.300  301.800      0.068       0.200        0.068        0.062       0.700      12.600       1.400       1.100      0.000      0.012      0.900      0.014  231.600    0.200   1.800    258.600      0.081     853.100   1374.200     0.100   1.800            312.275
                                      catfish cooked            206  10.300           2.300                 4.500                 1.900          0.000   0.000   26.400          0.000       94.400   0.200  106.700      0.066       0.045        0.044        0.066       0.021       0.100       3.600       1.200      0.300      0.000      0.035      1.400    0.010   12.900   0.098      0.400     32.900       0.011    353.200   523.400   0.030             37.141
                                         whiting raw             83   1.200           0.200                 0.300                 0.400          0.000   0.000   16.800          0.000       61.600   0.016   73.800      0.092       0.066        0.057        0.070       0.059       1.200       0.200       0.100      0.000      0.089      0.300      0.086   44.200    0.085   0.300     19.300      0.012     204.200    229.100     0.049   0.800             62.592
                                     pink salmon raw            404  14.000           2.600                 4.300                 2.600          0.000   0.000   65.200          0.000      146.300   0.200  240.200      0.100       0.300        0.044        0.030       0.300      25.400       3.300       1.900      0.000      0.035      1.300      0.025   22.300    0.200   1.200     85.900      0.057     830.000   1163.900     0.035   1.200            102.800
                                  yellowfin tuna raw             31   0.100           0.073                 0.008                 0.026          0.000   0.000    6.900          0.000       11.000   0.049   21.000      0.048       0.000        0.084        0.063       0.035       5.200       0.012       0.300      0.000      0.017      0.063      0.090    1.100    0.014   0.200      9.900      0.062      78.700    124.800     0.096   0.100              8.322
                                        mackerel raw            230  15.600           3.600                 6.100                 3.800          0.000   0.000   20.800          0.000       78.400   0.100   71.200      0.019       0.200        0.007        0.047       0.300      10.200       1.000       0.400      0.400      0.030      1.700      0.025   13.400    0.027   1.800     85.100      0.015     243.000    351.700     0.067   0.700             52.063
                                          turbot raw            388  12.000           3.100                 2.500                 3.600          0.000   0.000   65.500          0.000      195.800   0.600  314.000      0.001       0.300        0.094        0.090       0.300       9.000       2.300       0.900      6.900      0.000      0.000      0.000   73.400    0.200   1.500    208.100      0.060     526.300    971.000     0.100   0.900            159.322
                                         cusk cooked            106   0.800           0.000                 0.000                 0.000          0.000   0.000   23.100          0.000       50.400   0.047   66.200      0.016       0.097        0.015        0.007       0.200       3.100       0.300       0.400      0.000      0.000      0.000      0.000   12.400    0.077   1.000     38.000      0.048     248.900    477.900     0.012   0.500             37.306
                                atlantic croaker raw             82   2.500           0.900                 0.900                 0.400          0.000   0.000   14.000          0.000       48.200   0.014   61.600      0.039       0.079        0.028        0.066       0.038       3.300       0.600       0.200      0.000      0.005      1.000      0.068   11.900    0.065   0.300     31.600      0.017     165.900    272.600     0.053   0.300             28.709
                                       sucker cooked            148   3.700           0.700                 1.100                 1.300          0.000   0.000   26.600          0.000       65.700   0.019   91.700      0.006       0.053        0.043        0.026       0.100       1.800       1.100       0.300      0.000      0.000      0.000      0.000  111.600    0.300   2.100     47.100      1.000     333.600    603.900     0.000   1.200            144.006
                                            spot raw             79   3.100           0.900                 0.900                 0.700          0.000   0.000   11.800          0.000       38.400   0.022   48.600      0.005       0.100        0.063        0.042       0.100       4.500       0.500       0.300      0.000      0.000      0.000      0.000    9.000    0.014   0.200     26.900      0.095     119.000    317.400     0.024   0.300             24.113
                                         drum cooked            236   9.700           2.200                 4.300                 2.300          0.000   0.000   34.600          0.000      126.300   0.100  109.200      0.099       0.100        0.058        0.019       0.300       4.400       1.300       0.500      1.500      0.000      0.000      0.000  118.600    0.500   1.800     58.500      1.400     355.700    543.600     0.076   1.300            166.292
                                        crayfish raw              3   0.048           0.010                 0.043                 0.010          0.000   0.000    0.600          0.000        4.300   0.024    3.400      0.098       0.015        0.100        0.082       0.024       0.056       0.048       0.047      0.078      0.000      0.000      0.000    1.000    0.058   0.053      1.200      0.034       8.700     10.400     0.093   0.009              1.788
                                     tilefish cooked            441  14.100           2.600                 4.000                 3.700          0.000   0.000   73.500          0.000      192.000   0.200  210.700      0.022       0.400        0.067        0.010       0.600      10.500       2.600       0.900      0.000      0.000      0.000      0.000   78.000    0.200   0.900     99.000      0.064     708.000   1536.000     0.200   1.600            166.521
                                     bluefish cooked            186   6.400           1.400                 2.700                 1.600          0.000   0.000   30.100          0.000       88.900   0.045   73.300      0.200       0.012        0.066        0.019       0.100       8.500       1.100       0.500      0.000      0.000      0.000      0.000   10.500    0.049   0.700     49.100      0.015     340.500    558.100     0.084   1.200             47.900
                                      grouper cooked            238   2.600           0.600                 0.500                 0.800          0.000   0.000   50.200          0.000       94.900   0.100  148.200      0.100       0.200        0.023        0.083       0.035       0.800       1.800       0.700      0.000      0.000      0.000      0.000   42.400    0.063   2.300     74.700      0.075     288.900    959.500     0.088   1.000             97.600
                                      sheepshead raw            257   5.700           1.400                 1.700                 1.200          0.000   0.000   48.100          0.000      119.000   0.200  185.600      0.022       0.082        0.019        0.067       0.073       3.600       1.800       0.700      0.000      0.000      0.000      0.000   50.000    0.050   1.100     76.200      0.083     744.900    961.500     0.056   0.900            104.930
                                    herring kippered             87   4.900           1.100                 2.000                 1.200          0.000   0.000    9.800          0.000       32.800   0.400   23.900      0.005       0.070        0.020        0.068       0.100       1.800       0.400       0.200      0.400      0.004      0.600      0.086   33.600    0.081   0.600     18.400      0.062     130.000    178.800     0.053   0.500             49.314
                                         grouper raw            238   2.600           0.600                 0.500                 0.800          0.000   0.000   50.200          0.000       95.800   0.100  205.200      0.100       0.200        0.077        0.045       0.013       0.800       1.900       0.800      0.000      0.000      0.000      0.000   69.900    0.027   2.300     80.300      0.042     419.600   1251.000     0.059   1.200            125.100
                                  ocean perch cooked             48   0.900           0.200                 0.300                 0.200          0.000   0.000    9.300          0.000       31.500   0.200   37.100      0.011       0.031        0.071        0.095       0.044       0.018       0.600       0.200      0.021      0.000      0.042      0.500    0.069   17.000   0.073      0.100     13.500       0.075    150.000   113.000   0.004             10.368
                                            ling raw            168   1.200           0.200                 0.200                 0.400          0.000   0.000   36.700          0.000       77.200   0.300  153.700      0.041       0.200        0.052        0.088       0.400       4.400       0.600       0.600      0.000      0.000      0.000      0.000   65.600    0.200   1.300    121.600      0.026     382.100    731.500     0.069   1.500            104.862
                                      lingcod cooked            329   4.100           0.800                 1.300                 1.200          0.000   0.000   68.400          0.000      202.300   0.200  228.600      0.054       0.100        0.024        0.015       0.400       7.000       2.600       1.000      0.000      0.000      0.000      0.000   54.400    0.100   1.200     99.700      0.067     779.200   1691.200     0.100   1.800            128.139
                                 florida pompano raw            184  10.600           3.900                 2.900                 1.300          0.000   0.000   20.700          0.000       56.000   0.081   79.700      0.091       0.600        0.038        0.008       0.100       3.400       0.800       0.200      0.000      0.098      0.200      0.041   24.600    0.011   0.700     30.200      0.012     218.400    426.700     0.025   0.800             56.690
                                     rockfish cooked            162   2.400           0.600                 0.700                 0.700          0.000   0.000   33.100          0.000       90.900   0.100  111.300      0.012       0.006        0.081        0.068       0.055       0.300       4.300       0.600      0.400      0.000      0.004      0.700    0.000   25.300   0.046      0.500     49.200       0.013    369.500   695.800   0.100             35.955
                                     seatrout cooked            247   8.600           2.400                 2.100                 1.700          0.000   0.000   39.900          0.000      197.200   0.100  133.800      0.006       0.100        0.033        0.032       0.400       5.400       1.600       0.900      0.000      0.000      0.000      0.000   40.900    0.071   0.700     74.400      0.048     597.100    812.800     0.002   1.100             90.142
                                  sockeye salmon raw            562  22.200           4.700                 7.400                 7.700          0.000   0.000   84.400          0.000      209.900   0.400  289.700      0.200       0.700        0.073        0.065       0.500      32.200       4.600       2.400      0.000      0.086      3.800      0.021   39.600    0.200   1.700    118.800      0.064    1053.400   1358.300     0.100   1.700            148.100
                                    swordfish cooked            182   8.400           2.000                 3.800                 1.500          0.000   0.000   24.900          0.000       82.700   0.100   72.400      0.075       0.078        0.094        0.048       0.005       0.010       9.800       0.400      0.700      0.000      0.038      2.600    0.022    6.400   0.045      0.500     37.100       0.041    322.200   528.900   0.028             34.203
                                   american shad raw            362  25.300           5.800                10.500                 6.000          0.000   0.000   31.200          0.000      138.000   0.001  125.500      0.009       0.300        0.096        0.057       0.400      15.500       1.400       0.700      0.000      0.097      2.200      0.019   86.500    0.100   1.800     55.200      0.017     500.500    706.600     0.092   0.700            144.868
                               sardine canned in oil            310  17.100           2.300                 5.800                 7.700          0.000   0.000   36.700          0.000      211.600   0.500   88.800      0.051       0.100        0.067        0.075       0.300       7.800       1.000       0.200      0.000      0.040      3.000      0.063  569.200    0.300   4.400     58.100      0.200     730.100    591.500     0.077   2.000            627.452
                               anchovy canned in oil              8   0.400           0.001                 0.200                 0.100          0.000   0.000    1.200          0.000        3.400   0.100    2.000      0.012       0.000        0.007        0.061       0.071       0.800       0.008       0.082      0.000      0.070      0.100      0.013    9.300    0.097   0.200      2.800      0.005      10.100     21.800     0.023   0.031             11.106
                                       salmon canned            520  20.300           5.500                 7.100                 5.600          0.000   0.000   79.100          0.000      143.900   1.800  261.100      0.064       0.079        0.072        0.055       0.600      25.800       2.100       1.400      0.000      0.000      5.900      0.020  918.800    0.400   2.600    110.700      0.022    1306.300   1107.000     0.200   3.700           1020.882
                     sardines in tomato sauce canned            165   9.300           2.400                 4.300                 1.900          0.500   0.400   18.600          0.009       54.300   0.400   59.500      0.036       0.014        0.093        0.098       0.200       3.700       0.600       0.100      0.900      0.017      1.200      0.012  213.600    0.200   2.000     30.300      0.200     325.700    303.500     0.024   1.200            244.978
                               sockeye salmon canned            563  24.900           4.900                 8.400                 6.000          0.000   0.000   79.500          0.000      266.200   1.400  229.400      0.200       0.100        0.096        0.014       0.700      25.700       1.800       0.400      0.000      0.090      7.000      0.018  781.800    0.200   2.200    104.500      0.008    1139.100   1058.200     0.100   2.800            888.600
                                         tuna canned            102   2.400           0.600                 0.600                 0.900          0.000   0.000   18.900          0.000       33.600   0.300   58.600      0.017       0.032        0.087        0.075       0.079       4.600       0.086       0.200      0.000      0.070      0.700      0.099   11.200    0.099   0.800     26.400      0.078     173.600    189.600     0.025   0.400             33.320
                                  pink salmon canned            530  20.400           3.500                 5.000                 5.800          0.000   0.000   80.900          0.000      226.100   1.700  304.300      0.025       0.061        0.054        0.031       0.800      26.900       2.300       1.200      0.000      0.018      2.600      0.044  883.700    0.300   2.600    123.300      0.070    1385.100   1413.800     0.100   3.100            987.651
                                          cod canned            328   2.700           0.500                 0.400                 0.900          0.000   0.000   71.000          0.000      171.600   0.700  235.900      0.046       0.300        0.060        0.040       0.200       7.800       0.500       0.900      3.100      0.066      2.600      0.063   65.500    0.100   1.500    127.900      0.061     811.200   1647.400     0.100   1.800            143.814
                               eastern oyster canned            110   4.000           1.000                 0.400                 1.200          6.300   0.000   11.400          0.000       89.100   0.200  137.900      0.100       0.200        0.009        0.089       0.300       2.000       0.300       0.200      8.100      0.000      1.400      0.056   72.900    7.200  10.900     87.500      0.700     225.200    371.000     0.078 147.300            113.700
                                  chum salmon canned            520  20.300           5.500                 7.100                 5.600          0.000   0.000   79.100          0.000      143.900   0.300  261.100      0.014       0.092        0.054        0.012       0.600      25.800       2.100       1.400      0.000      0.000      0.000      0.000  918.800    0.400   2.600    110.700      0.037    1306.300   1107.000     0.200   3.700           1020.805
                                  tuna canned in oil            331  14.400           2.300                 5.800                 5.300          0.000   0.000   47.200          0.000       55.200   0.700  114.000      0.030       0.044        0.022        0.033       0.100      20.800       0.700       0.800      0.000      0.000      4.100      0.073    7.100    0.200   1.200     60.500      0.081     475.300    592.700     0.100   0.800             69.953
                             wild pink salmon oceans            320  16.000           0.000                48.000                 0.000          0.000   0.000    0.000          0.000        0.000   0.000    0.000      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000             16.000
                                       shrimp canned            128   1.700           0.200                 0.100                 0.900          0.000   0.000   26.100          0.000      322.600   1.100   97.100      0.000       0.039        0.078        0.081       0.099       0.700       0.200       0.054      5.200      0.000      1.400      0.000  185.600    0.300   2.700     42.200      0.500     249.600    102.400     0.036   2.500            221.300
                                alaska king crab raw            144   1.000           0.200                 0.100                 0.200          0.000   0.000   31.500          0.000       72.200   1.400  136.900      0.048       0.015        0.082        0.004       0.026       1.900       0.600       0.300     12.000      0.000      0.000      0.000   79.100    1.600   1.000     84.300      0.021     376.700    350.900     0.002  10.200            124.608
                                      scallops fried             64   3.200           0.800                 2.100                 0.100          6.400   0.000    2.600          0.000       18.000   0.200   11.500      0.059       0.049        0.081        0.089       0.100       0.000       0.075       0.013      0.000      0.000      0.000      0.000    3.100    0.099   0.300      5.300      0.008      48.700     49.000     0.032   0.200             15.698
                                       shrimp cooked              7   0.092           0.023                 0.003                 0.000          0.013   0.000    1.300          0.000       11.600   0.012    3.900      0.021       0.031        0.098        0.077       0.002       0.100       0.026       0.041      0.000      0.080      0.100      0.001    5.000    0.010   0.009      2.000      0.077      16.800      9.400     0.080   0.008              6.398
                                         clams fried             19   1.000           0.300                 0.400                 0.300          1.000   0.000    1.300          0.000        5.700   0.068    5.800      0.008       0.091        0.059        0.083       0.042       0.200       0.010       0.011      0.900      0.000      0.000      0.000    5.900    0.069   1.300      1.300      0.078      17.700     30.600     0.022   0.100             11.464
                             alaska king crab cooked            130   2.100           0.200                 0.200                 0.700          0.000   0.000   25.900          0.000       71.000   1.400  103.900      0.018       0.005        0.002        0.020       0.070       1.800       0.500       0.200     10.200      0.000      0.000      0.000   79.100    1.600   1.000     84.400      0.093     375.200    351.100     0.003  10.200            118.350
                                     scallops cooked             11   0.058           0.092                 0.096                 0.086          0.500   0.000    2.100          0.000        4.100   0.060    7.000      0.050       0.091        0.011        0.015       0.067       0.049       0.100       0.004      0.032      0.000      0.000      0.000    0.000    1.000   0.057      0.041      3.700       0.004     42.600    31.400   0.042              2.732
                                         squid fried            140   6.000           1.500                 2.200                 1.700          6.200   0.000   14.400          0.000      208.000   0.200   51.600      0.035       0.048        0.060        0.050       0.400       2.100       0.400       0.033      3.400      0.000      0.000      0.000   31.200    1.700   0.800     30.400      0.046     200.800    223.200     0.087   1.400             62.028
                                          oyster raw             41   1.200           0.300                 0.200                 0.400          2.500   0.000    4.700          0.000       25.000   0.059   41.000      0.093       0.052        0.088        0.018       0.100       1.000       0.300       0.026      4.000      0.000      0.000      0.000    4.000    0.800   2.600     11.000      0.300      81.000     84.000     0.100   8.300             19.054
                                             abalone             89   0.600           0.100                 0.020                 0.091          5.100   0.000   14.500          0.000       72.300   0.300   63.400      0.056       0.200        0.038        0.057       0.090       1.300       2.600       0.100      1.700      0.000      3.400      0.043   26.400    0.200   2.700     40.800      0.014     161.500    212.500     0.095   0.700             51.092
                                      queen crab raw             25   0.300           0.096                 0.027                 0.100          0.000   0.000    5.200          0.000       15.600   0.200   22.800      0.093       0.032        0.001        0.082       0.063       0.700       0.024       0.059      2.000      0.000      0.000      0.000    7.400    0.200   0.700     13.900      0.082      37.600     49.000     0.033   0.800             15.607
                                        whelk cooked             78   0.200           0.003                 0.068                 0.037          4.400   0.000   13.500          0.000       36.800   0.100    9.100      0.013       0.076        0.057        0.084       0.055       0.600       0.100       0.200      1.900      0.000      0.000      0.000   32.000    0.600   2.800     48.700      0.300      79.800    196.400     0.047   0.900             54.806
                                       oyster cooked             41   1.200           0.300                 0.200                 0.400          2.500   0.000    4.700          0.000       25.000   0.066   16.000      0.082       0.099        0.005        0.007       0.100       0.900       0.200       0.043      3.200      0.000      0.200      0.047    4.000    0.700   2.300     11.000      0.300      60.800     75.500     0.064   8.300             17.971
                               eastern oyster cooked              8   0.200           0.073                 0.004                 0.018          0.700   0.000    0.700          0.000        3.700   0.038    8.000      0.090       0.020        0.086        0.099       0.012       0.200       0.083       0.023      0.600      0.000      0.000      0.000    5.500    0.100   0.800      3.200      0.081      11.300     14.900     0.011   4.400              8.598
                                 blue mussels cooked            344   9.000           1.700                 2.000                 2.400         14.800   0.000   47.600          0.000      112.000   0.700  122.300      0.200       0.600        0.200        0.026       0.800       6.000       1.900       0.200     27.200      0.000      0.000      0.000   66.000    0.300  13.400     74.000     13.600     570.000    536.000     0.200   5.300            178.200
                                         octopus raw             23   0.300           0.002                 0.042                 0.038          0.600   0.000    4.200          0.000       13.600   0.064   22.700      0.059       0.066        0.009        0.043       0.064       0.600       0.100       0.100      1.400      0.000      0.300      0.074   15.000    0.100   1.500      8.500      0.019      52.600     99.100     0.044   0.500             23.044
                                spiny lobster cooked            233   3.200           0.500                 0.600                 1.200          5.100   0.000   43.000          0.000      146.700   0.400  108.800      0.060       0.097        0.032        0.068       0.016       8.000       0.700       0.300      3.400      0.000      0.000      0.000  102.700    0.700   2.300     83.100      0.019     373.300    339.000     0.042  11.900            159.731
                                    blue mussels raw            129   3.400           0.600                 0.800                 0.900          5.500   0.000   17.900          0.000       42.000   0.400  120.900      0.028       0.200        0.095        0.003       0.300       2.400       0.800       0.041     12.000      0.000      0.800      0.012   39.000    0.100   5.900     51.000      5.100     295.500    480.000     0.063   2.400             83.720
